	job	company	sex	residence	blood_group	ssn	name	birthdate	race
43	Information systems manager	Perez-Hughes	M	"Unit 0529 Box 3977
DPO AE 79154"	A+	108-99-1399	Zachary Tucker	15 May 1992	White
44	Chartered accountant	Johnson-Martin	M	"02643 Brown Springs
North Michelle, AZ 73685"	A-	083-43-2033	Jordan Walls	04/20/1935, 00:00:00	White
45	Volunteer coordinator	Lyons-Moore	M	"8583 Noble Viaduct
Donaldsonfort, MI 89187"	B+	109-92-5751	John Adams	02/08/1967, 00:00:00	White
46	Statistician	Smith-White	F	"105 Amanda Landing
Lake Sophia, ME 65168"	B+	561-99-0646	Veronica Taylor	20 Oct 1965	Black
47	Diplomatic Services operational officer	Martinez, Weber and Patterson	M	"13475 Jenkins Knoll
North Moniquetown, CO 77870"	O+	432-79-4422	Alex Martinez	09/22/2009, 00:00:00	Black
48	Therapist, sports	Graves, Martin and Gordon	M	"48125 Mckenzie Way Suite 500
Dianefort, AR 05763"	A+	211-85-2077	Chris Fox	10/03/1955, 00:00:00	White
49	Trading standards officer	Wright, Moran and Hayes	F	"0690 Rodriguez Glens Suite 984
Andreahaven, ID 23355"	AB-	738-71-6276	Lisa Garcia	1962/03/03	White
50	Statistician	Hicks-Luna	F	"39237 Kimberly Groves Suite 657
West Brett, MI 01019"	AB-	562-62-4526	Monica Waller	10/07/2005, 00:00:00	Black
51	Theatre manager	Thompson-Davis	M	"1746 Nguyen Manor Suite 497
Johnsonfort, MO 56240"	O+	684-19-8774	Patrick Bradley	2008-04-22	Black
52	Meteorologist	Castillo, Mcdowell and Marshall	M	"992 Ariana Harbors
Lowemouth, OH 55592"	A+	573-03-7720	Dr. Johnathan Webb	28 May 1996	White
53	Administrator, local government	Sanchez-Baxter	M	"70119 Lisa Harbor Apt. 752
Smithberg, MO 98394"	AB-	576-44-2391	Eric Smith	04/22/1910, 00:00:00	White
54	Programmer, multimedia	Oliver-Sullivan	M	"05727 Tiffany Fords Apt. 372
New Marymouth, MS 21352"	B-	398-28-7874	Bryce Lopez	1964/12/14	Black
55	Warehouse manager	Gardner-Townsend	M	"134 Hoover Islands
Allenburgh, TN 47439"	B-	780-09-4810	Steven Dickerson	2011-04-05	Black
56	Designer, exhibition/display	Wade LLC	F	"21523 Scott Passage Apt. 218
Hayeston, LA 39176"	B+	708-36-3612	Krista Frye	30 Sep 1914	White
57	Pharmacist, hospital	Patel-Cunningham	F	"49099 Kyle Throughway Apt. 900
New Julie, VA 58711"	A-	060-35-0688	Angela Leon	1945-12-27	Hawaiian
58	Personnel officer	Pitts-Olson	M	"58643 Wu Drive Apt. 631
South Matthewmouth, SD 33274"	B+	574-18-4368	Nathan Brown	1938-04-22	Asian
59	Bookseller	Wheeler Group	F	"60257 Jody Street Apt. 411
Courtneyfurt, IA 35159"	A+	182-25-4168	Tonya Thomas	1980-12-14	White
60	Mining engineer	Anderson, Curry and Christian	M	"70190 Jennifer Roads Apt. 535
Ortegaview, AL 11286"	O+	612-84-8343	Daniel Crawford	2005-11-13	White
61	Ergonomist	Fletcher and Sons	M	"USCGC Smith
FPO AP 15898"	B-	875-03-5732	David Ashley	04 May 1965	White
62	Commercial horticulturist	Jordan Ltd	M	"32664 Frank River Suite 381
East Ryanland, VA 54622"	A-	277-41-7863	Brian Fowler	24 Dec 1973	blsck
63	Sales promotion account executive	Smith Ltd	M	"35699 Young Isle
East Allenborough, MA 20602"	B+	512-43-8861	Russell Michael	1958-04-21	Black
64	Furniture conservator/restorer	Copeland Group	F	"517 Johnson Plains Apt. 815
East Maryshire, WV 45739"	AB+	416-78-7809	Alice Cross	2006/12/19	White
65	Cytogeneticist	Elliott and Sons	M	"923 Tristan Lake Suite 536
Davisside, WY 73678"	O-	467-36-4929	Jacob Martin	1907-04-12	Asian
66	Publishing rights manager	Young, Morris and Chen	M	"098 Joseph Meadows Suite 188
South Cameronstad, NY 48621"	AB-	243-63-2865	Frank Tate	1930-03-19	White
67	Graphic designer	Wolfe LLC	M	"0580 Townsend Expressway Apt. 399
Andrewland, NC 97327"	B+	009-14-7175	Nicholas Blevins	07/01/1994, 00:00:00	Black
68	Meteorologist	Schwartz-Snyder	F	"08924 Angela Way
South Jesse, DE 51119"	B-	198-17-5818	Karen Neal	1941-02-17	White
69	Engineer, manufacturing	Phillips Inc	M	"803 Gardner Crest
New Nancy, LA 46825"	A+	212-46-8890	Mark Evans	1927/11/20	Black
70	Haematologist	Williams, Hill and Cortez	F	"Unit 5041 Box 3557
DPO AP 62045"	A+	746-20-2868	Traci Briggs	2012/09/07	Asian
71	Counsellor	Jensen Group	F	"046 Gabriel Plaza Apt. 561
Sanchezville, OH 64649"	AB+	086-31-6393	Mrs. Destiny Fisher	1937/07/06	White
72	Social worker	Nelson Inc	M	"44785 Thompson Flat
Stacyborough, NM 97768"	B+	349-62-2987	David Berry	1961/10/27	White
73	Designer, exhibition/display	Moore, Johnson and Smith	M	"1599 Booth Divide Apt. 829
Bowenside, ID 31374"	B-	864-57-7497	Darrell Bennett	1996-03-17	Black
74	Advertising account planner	Wright, Navarro and Perez	F	"4570 Jennifer Brooks
Alexanderburgh, CT 75639"	AB+	195-63-1377	Jessica Martinez	15 Aug 1970	White
75	Music therapist	Taylor Group	M	"201 Austin Mountain Apt. 237
North Ryan, NE 60453"	B+	305-03-6839	Bryan Thomas	30 Jul 2012	White
76	Intelligence analyst	May-White	F	"33177 Collins Divide Suite 954
Marilynburgh, WV 04775"	AB+	458-03-8447	Joanne Freeman	1991-05-26	black
77	Surveyor, quantity	Taylor, James and Brown	M	"8205 Jackson Haven
Maxwellbury, VA 16348"	O+	386-13-7461	Sergio Johnson	05/13/1970, 00:00:00	Hawaiian
78	Cabin crew	Fisher, Thomas and Santana	M	"PSC 6311, Box 3190
APO AA 47649"	A+	318-89-7881	Micheal Johnson	07/23/1939, 00:00:00	White
79	Conference centre manager	Woods Inc	M	"USS Turner
FPO AA 43266"	O+	083-28-9393	Steven Lane	08/15/1972, 00:00:00	White
80	Engineer, petroleum	Jones-Dunn	F	"0199 Bautista Estate Suite 996
North Lynn, AR 32960"	O-	032-94-1944	Tracy Green	2012-01-24	black
81	Newspaper journalist	Johnson-Sims	F	"PSC 2773, Box 6606
APO AP 72126"	AB+	854-60-9369	Mary Hughes	1982-09-19	White
82	Personal assistant	Ewing-Kelley	F	"20625 Hamilton Motorway Suite 748
Martinezshire, CT 63965"	B-	111-84-4043	Darlene Ramos	1950/08/13	Black
83	Teacher, early years/pre	Daniel and Sons	F	"758 Brandon Bridge
Richardview, FL 91553"	B+	452-48-4513	Veronica Hernandez	2000/03/12	Black
84	Radio broadcast assistant	Kaiser, Butler and Lyons	F	"501 Clark Ranch
New Jacobberg, WI 25761"	AB+	330-17-3509	Kimberly Atkins	1975-04-05	black
85	Scientist, research (physical sciences)	Hensley-Erickson	F	"79457 Casey Road
Williamtown, LA 20413"	A+	621-07-1998	Megan Blanchard	1976-08-06	White
86	Ecologist	Short-Williams	M	"39548 Mary Center Suite 261
Pamchester, MO 73909"	AB-	266-18-8071	Michael Price	1972-03-23	White
87	Pathologist	Cantrell Group	F	"79600 Lee Springs
Tommymouth, IL 17838"	AB-	695-12-0916	Yesenia Hopkins	1910/09/16	Asian
88	Broadcast presenter	James-Mccarthy	F	"49088 Shawn Manor
Traceyhaven, PA 36586"	A-	758-12-4943	Ashley Thornton	1929-05-23	Black
89	Product manager	Ramirez-Harvey	M	"4268 Jade Rest Suite 767
Livingstonside, FL 73787"	O-	728-31-0480	Brian Nguyen	2002/10/29	Asian
90	Secondary school teacher	Liu Inc	F	"420 Susan Freeway
New Larryland, DC 38502"	B+	031-26-6224	Elizabeth Thompson	1936/08/19	White
91	Chief Technology Officer	Chapman PLC	M	"USNV Phillips
FPO AA 74454"	AB-	024-14-2125	Ryan Davis	1955-03-31	White
92	Accountant, chartered	Mitchell-Torres	F	"130 Landry Prairie
Port Virginiashire, TN 62358"	AB-	557-14-0257	Mrs. Melanie Mills	28 Sep 1973	Asian
93	Oncologist	Richards, Gonzalez and Meyers	F	"38075 Christian Port Apt. 448
Brucestad, PA 54879"	B+	819-12-2629	Katherine Cole	1968/01/10	White
94	Leisure centre manager	White-Holmes	M	"17794 Mark Canyon
East Rebeccaborough, AZ 47585"	O-	660-22-4738	Dennis Brooks	1916-08-25	White
95	Horticulturist, commercial	Cunningham-Valentine	M	"0187 Vega Green
North Curtis, UT 01918"	AB+	386-18-0241	Gregory Moran	01/31/1980, 00:00:00	Black
96	Computer games developer	Riley-Fernandez	M	"449 Clifford Port
West Louis, NJ 76059"	O-	388-76-0694	Jason Riley	02/23/1973, 00:00:00	White
97	Radio producer	Miller, Ray and Hampton	F	"USNV Francis
FPO AE 22229"	B+	296-55-4652	Theresa Morris	1940/02/04	White
98	Logistics and distribution manager	Ortiz-Lee	M	"740 Scott Ford Apt. 107
Katherinechester, MS 41085"	B-	731-52-1443	George Williams	04/13/1948, 00:00:00	White
99	Scientist, audiological	Hartman LLC	M	"200 Samantha Isle Apt. 227
Grahamborough, ID 84675"	A+	131-98-1194	David Rodriguez	1954/03/08	Black
100	Corporate treasurer	Carr LLC	M	"039 Woodard Rapids
Leslieland, AZ 30429"	A+	378-56-0416	David King	1911/03/04	black
101	Museum education officer	Reed-Miller	F	"87471 Terrance Corner Apt. 223
Lucasborough, NM 61459"	O-	285-68-0305	Stephanie Wilson	1906-01-29	Black
102	Conservation officer, historic buildings	Jensen-Baldwin	M	"33142 Jacob Hills
South Joshua, WA 32420"	A-	004-89-0618	John Wells	06 Nov 1975	White
103	Recruitment consultant	Miller PLC	F	"759 Rivera Track
Housemouth, FL 16684"	B-	611-67-4153	Terri Schroeder DVM	1993/06/21	White
104	Buyer, industrial	Mccormick PLC	M	"Unit 5404 Box 9714
DPO AE 67305"	B-	656-10-3256	Andrew Martinez	05/08/1979, 00:00:00	Asian
105	Ecologist	Beasley-Green	M	"46849 Davis Station Apt. 290
East Christopher, NY 56448"	O+	307-48-1490	Spencer Stevens	09/07/2002, 00:00:00	Black
106	Food technologist	Rodriguez LLC	F	"263 Anderson Terrace
Johnsonville, GA 80755"	O-	737-98-4606	Tami Ingram	10/12/2018, 00:00:00	black
107	Audiological scientist	Tran PLC	M	"7784 Mullins Grove Suite 107
Petersonton, IL 86242"	A+	241-19-1428	Joseph Wagner	04 Aug 1960	White
108	Conservator, furniture	Morrison Group	F	"15722 Andrews Parkway Suite 122
West Whitney, NH 97194"	A-	476-53-0553	Heather Warner	1984-03-02	White
109	Radiographer, diagnostic	Scott-Bennett	M	"5906 Moon Plaza
Kelleymouth, AL 76825"	AB-	280-76-7693	Carlos Moreno	02/09/1937, 00:00:00	White
110	Intelligence analyst	Scott, White and Montgomery	M	"8169 John Port
West Randall, NM 11553"	AB-	816-62-4942	Michael Lee	1925/11/30	Black
111	Operational researcher	Marshall-Jackson	F	"7846 Boyd Corners Suite 366
Mendozatown, SD 90915"	AB+	882-09-5876	Erika Edwards	2015-02-26	White
112	Environmental education officer	Green-Chavez	M	"89863 Brennan Glens
New Jeffery, MT 82491"	AB-	282-81-4926	Harry Simmons	1930/09/11	Black
113	Chief Technology Officer	Levine, Lane and Ross	M	"525 Bailey Rest Apt. 005
Ballardfort, KS 99719"	A-	658-21-3621	Keith Mccoy	16 May 1943	White
114	Production designer, theatre/television/film	Burton-Johnson	M	"043 Evans Brook Suite 813
New Bradleychester, DC 86214"	O+	256-47-6522	Mark Jordan	18 Dec 1940	Black
115	Water quality scientist	Williams-Krause	F	"6489 Martinez Mission Suite 226
South Daleberg, DE 72862"	B+	210-69-5071	Linda Christensen	1979/10/07	Asian
116	Air broker	Abbott, Gonzalez and Williams	M	"4269 Stewart Spring
Nicoleland, TN 17692"	B+	656-85-2440	Kenneth Peterson	1918/10/22	White
117	Press sub	Brown-Page	M	"776 Krystal Mountain Apt. 234
West Matthewfurt, MN 06035"	A+	508-52-2556	Spencer Bauer	1933-09-01	White
118	Heritage manager	Morrow, House and Gonzalez	M	"34677 Nicole Road
Micheleburgh, CT 79580"	O-	019-63-1210	Michael Woods MD	1940/05/26	White
119	Armed forces operational officer	Mcconnell LLC	M	"394 Steven Walks
Johnmouth, GA 72554"	A+	148-88-3661	Colin Vasquez	21 Dec 1998	Hawaiian
120	Forest/woodland manager	Ryan-Cox	M	"13392 Valencia Drives
Hernandezberg, OR 20950"	A-	722-85-2929	Jeremiah Hall	1943/07/10	Black
121	Therapist, occupational	Roberts and Sons	F	"427 Davis Ways Apt. 529
Coreyside, FL 04949"	O-	430-46-6122	Ann Gordon	02 Dec 1961	Black
122	Academic librarian	Clayton-Lane	F	"8591 Joshua Plaza
Port Ronaldstad, VA 88156"	AB+	110-32-9059	Dr. Natasha Sullivan	1958/07/08	White
123	Special effects artist	Riley, Wood and Williams	F	"26112 Wong Pass Suite 779
Hansonshire, KS 04413"	B+	757-40-5903	Jody Walton	1926-09-04	White
124	Industrial/product designer	Robbins and Sons	M	"79754 Benjamin Freeway Apt. 067
South Taylorhaven, KS 51628"	AB-	513-87-0746	Donald Brown	1963-09-06	White
125	Economist	Conner-Moss	F	"61249 Bolton Ranch Apt. 563
Henryfurt, KY 51334"	AB-	399-07-1979	Erin Kane	1951-02-22	blsck
126	Animator	Spencer-Cowan	F	"Unit 5800 Box 0117
DPO AP 95202"	O-	728-08-1084	Nicole Barnes	2003/12/14	Asian
127	Administrator	Allen, Bonilla and Hendricks	F	"7164 Douglas Groves
New Debra, SD 09692"	O-	025-67-6508	Linda Miller	20 Jan 1983	Black
128	Engineering geologist	Howe, Leonard and Daniels	M	"63590 Darlene Canyon
Port Jason, ND 30796"	O+	698-56-6937	Joseph Vaughn	30 Apr 1948	White
129	Psychologist, counselling	Horn, Bennett and Brown	M	"57195 Dougherty Pines Apt. 120
Patrickstad, WY 78423"	A-	861-31-8338	Erik Mcdonald	1931/09/19	Black
130	Programmer, systems	Cantrell LLC	M	"203 Elizabeth Extensions
Nelsonland, WI 03558"	B-	080-25-8804	Eduardo Cunningham	1988-03-26	White
131	Air cabin crew	Nelson-White	F	"USS Burton
FPO AA 15373"	AB+	253-34-6247	Courtney Brooks	18 Mar 1964	Asian
132	Pharmacologist	Rangel, Rodriguez and Tucker	M	"768 Haas Tunnel
Tracyshire, ND 22982"	O-	281-92-9381	Ryan Edwards	04 Sep 1973	Black
133	Forensic scientist	Greer Ltd	M	"9516 April Mews
East Oscarport, ME 04145"	B+	238-93-9022	Luis Thomas	1948/02/23	black
134	Designer, ceramics/pottery	Sweeney-Martin	F	"0194 Sydney Vista
Lisahaven, HI 47819"	O-	773-60-2562	Tiffany Nichols	02/24/2015, 00:00:00	White
135	Horticultural therapist	Riley Inc	M	"67905 David Island Apt. 232
South Ryan, MN 63670"	O+	278-65-2233	Carl Fowler	13 Feb 2011	Black
136	Amenity horticulturist	Trevino Ltd	M	"4383 Kelly Views Apt. 991
East Michaelland, DE 66613"	B-	853-74-4367	Michael Rodriguez	1909-03-30	Black
137	Optician, dispensing	Simpson and Sons	M	"179 Morgan Ramp
North Amy, OK 35336"	AB+	099-66-6322	David Gray	1957/03/29	White
138	Risk manager	Castaneda, Ingram and Whitehead	F	"3607 Thomas Canyon
Lake Jessica, AL 67609"	A+	256-16-5929	Karen Jones	04/04/2019, 00:00:00	Asian
139	Fast food restaurant manager	Wilson Group	F	"1735 Mckenzie Crossroad
South Jasminechester, IN 87065"	B+	879-77-3021	Karen Walker	02/18/1986, 00:00:00	Hawaiian
140	Surgeon	Rivera Group	M	"07649 Benjamin Lake Apt. 658
Bakerview, MA 04039"	A-	415-17-5200	Justin Simpson	04 Dec 1927	Black
141	IT sales professional	Smith Ltd	M	"Unit 2910 Box 2738
DPO AE 74064"	B-	073-68-7914	Joseph Shaw	18 Nov 2018	White
142	Scientist, research (medical)	Williams-Smith	M	"439 Cummings Cape
Fordmouth, DC 38204"	O-	430-69-0359	Justin Montgomery	1998/08/08	White
143	Maintenance engineer	Allen, Nelson and Contreras	F	"890 John Parkways
Johnland, GA 45030"	O+	414-77-7251	Lisa Andrews	05/27/1966, 00:00:00	Asian
144	Health visitor	Maldonado, Berg and Page	M	"07213 Fitzgerald Crossing
North William, SC 64396"	O+	853-89-2592	Colton Li	06/30/1991, 00:00:00	Asian
145	Barrister's clerk	Mccoy, Wyatt and Rivers	M	"293 Erin Coves
South Cynthia, NY 09810"	AB-	194-57-4902	Travis Mayer	12 Aug 1918	White
146	Professor Emeritus	Rodriguez LLC	M	"664 Mary Valley Apt. 264
Morganmouth, MA 16615"	AB+	245-39-9595	Corey Macdonald	1949/08/26	White
147	Facilities manager	Young and Sons	F	"30538 Morrison Harbor Apt. 236
Lake Robertburgh, MI 97735"	B-	475-66-4831	Shannon Gardner	1962/04/16	White
148	Landscape architect	Lopez, Bruce and Cruz	F	"8684 Brown Ways Suite 885
New Joshuafurt, PA 06501"	B+	126-71-1521	Melissa Hughes	05/19/2017, 00:00:00	White
149	Naval architect	Murphy, Ford and Hill	M	"2550 Meredith Mill Suite 814
Fernandezfort, AL 12587"	AB-	751-35-9875	Mike West	28 Jun 2017	White
150	Nurse, adult	Elliott-Saunders	F	"257 Thompson Stravenue
Murphymouth, WI 58296"	A+	593-65-0868	Debra Johnson	11/10/1950, 00:00:00	White
151	Company secretary	Maynard, Brown and Sullivan	F	"226 Kimberly Cliffs Suite 807
Kellyberg, NE 50661"	B+	865-58-2261	Emily Wright	21 Dec 1912	Black
152	Consulting civil engineer	Moore-Lindsey	M	"333 Rodriguez Stream Suite 693
South Vickie, TX 82778"	A+	774-03-4511	Damon Gardner	04/05/1988, 00:00:00	Asian
153	Theme park manager	Francis, Moon and Houston	M	"8477 Larson Canyon
South Ianport, VT 98873"	AB-	404-69-5525	Chad Bailey	05 Feb 1936	Black
154	Financial planner	Williams-Wilkerson	F	"USCGC Hogan
FPO AP 86581"	AB+	891-42-8328	Deborah Evans	18 Sep 2016	Black
155	Engineer, electrical	Lopez Ltd	F	"93774 Hobbs Walk Apt. 523
Wagnerside, FL 21007"	A+	495-63-9343	Jessica Durham	2001/06/03	White
156	Estate agent	Harper Inc	M	"39276 Morgan Coves
Khanborough, ND 11025"	B+	157-83-9332	Jeffrey Hogan	2008-08-07	Black
157	Farm manager	Thomas, Mercado and Anderson	M	"24268 Torres Heights Apt. 890
Evelynhaven, NC 91646"	AB-	093-13-9586	Justin Anderson	18 Apr 1960	White
158	Civil Service administrator	Newman-Simpson	M	"723 Beltran Cliffs
Ingramton, IN 20297"	B+	514-49-8705	Chad Johnson	29 Jan 1944	Black
159	Forensic psychologist	Adams-Scott	M	"20313 Choi Springs
Caseymouth, AZ 70811"	A-	210-44-2101	Jordan Hansen	28 Apr 2001	White
160	Air broker	Ramirez, Carter and Thomas	M	"13279 Kimberly Turnpike Apt. 565
Sharonville, ME 19906"	B+	644-51-8398	Anthony Johnson	1974/06/15	White
161	Purchasing manager	Delacruz and Sons	M	"03095 Brown Light
West Sheila, FL 52819"	B-	898-23-4772	Adam Freeman	14 Aug 1954	White
162	Surveyor, commercial/residential	Johnson, Williams and Bean	M	"7236 Tran Pines Apt. 412
Stephanieland, VT 95139"	A-	413-23-5033	Jason Novak	18 Oct 2013	White
163	Learning mentor	Quinn-Jenkins	F	"27527 Walker Rest Suite 499
East Harryport, MT 82422"	AB+	832-13-7202	Julie Long	1972-03-28	Black
164	Radiographer, therapeutic	Hayes Inc	F	"0697 Silva Stream Suite 407
Port Karenville, ND 30957"	AB+	414-29-8896	Debbie Barnett	25 May 1922	White
165	Jewellery designer	Briggs Inc	F	"0167 Blackburn Track Apt. 171
Donnaton, DC 45087"	A+	365-84-2585	Jacqueline Mcknight MD	1910/12/29	Indian
166	Scientist, forensic	Reed-Ryan	M	"Unit 9429 Box 9603
DPO AP 93231"	AB-	722-12-9131	Jimmy Benitez	04/18/1926, 00:00:00	blsck
167	Chemical engineer	Warner-Snyder	M	"47748 Lyons Land
Walkerville, NV 21904"	B-	739-88-0005	Sean Wood	07/14/1984, 00:00:00	Black
168	Product manager	Brown, Sanchez and Compton	M	"45661 Christopher Port
Lake Barbaraside, CA 85687"	O+	024-24-7845	John Ryan MD	16 Feb 1972	White
169	Museum/gallery exhibitions officer	Duarte, Nunez and Flores	M	"PSC 5767, Box 5078
APO AE 48164"	AB+	023-26-0824	Jonathan Horton	02/09/2004, 00:00:00	White
170	Soil scientist	Morrison, Jones and Smith	M	"15741 Martinez Causeway Apt. 356
Port Patricia, WV 43858"	AB-	368-49-6294	Paul Beltran	1948-03-22	White
171	Engineering geologist	Sullivan-Butler	M	"8350 Clark Crossing Apt. 658
West Melissaburgh, LA 52179"	O-	560-76-8239	Timothy Chaney	06 Jul 1943	Asian
