	leukocyty	weight	hbver	er-cv	ast	indicator	hematokrit	trombocyty	name	smoker	ssn	alt	etytr	erytrocyty	hemoglobin	alp	relationship
33	7.00620	47.58719	4.37839	73.71285	59.68668	1.00000	6.89408	5.95020	Anthony Hogan	yes	863-16-0718	13.04773	6.05414	7.38435	6.10476	88.44156	widowed
34	7.89096	69.77976	8.92385	33.40617	37.20268	0.00000	5.62555	4.62554	Joyce Smith	no	608-63-9644	14.18606	2.52294	8.38998	5.58795	78.88441	separated
35	8.86214	41.86760	6.63628	48.99606	43.97489	1.00000	4.05432	5.89665	Susan Robinson	yes	809-94-4521	3.86948	4.82735	7.03842	5.57163	80.83008	nop
36	8.72214	118.90313	9.12098	30.73535	55.44389	0.00000	5.19763	10.71124	Maria Flores	no	323-58-0580	6.40878	8.63478	7.32805	5.55854	73.27259	single
37	6.03324	90.84959	7.52922	33.83426	47.37005	1.00000	8.14593	5.53801	Tiffany Richard	Y	811-49-0494	10.58365	5.10213	7.87030	6.65653	81.69383	married
38	7.93392	20.73021	6.31082	43.69371	62.15996	1.00000	4.33288	7.40851	Sarah Ortega	no	562-55-4433	10.37679	7.08688	7.51792	7.17911	68.17205	single
39	5.32975	47.53408	6.73242	57.31906	69.03297	1.00000	7.44328	4.16629	Natalie Anderson	no	865-12-8806	15.11620	3.85569	8.13173	8.07669	38.53128	widowed
40	4.75547	100.83004	6.92180	41.48186	51.22746	1.00000	9.55121	6.56887	Mr. Jason Barnett	no	598-90-6366	5.52476	5.59383	6.24769	6.56349	83.02637	married
41	6.98347	107.86664	6.79762	46.00660	51.73145	1.00000	5.27766	4.24866	Jessica Terry	no	827-19-4485	8.81122	5.33147	7.09361	8.23909	28.94108	married
42	4.86070	104.53078	6.81984	54.04016	55.29849	1.00000	6.15702	9.35032	Stephanie Powers	yes	493-25-6726	5.14197	6.61859	5.65121	7.45279	64.80987	married
43	9.30720	36.68534	6.57308	56.70322	38.56046	1.00000	5.92686	7.00947	Dr. Mary Hart	yes	648-89-1419	5.14871	5.65762	4.86776	6.66565	79.43957	divoced
44	7.51191	89.79235	7.40829	28.38578	77.26680	1.00000	4.17839	5.66768	Stacey Lucas	no	759-17-9375	7.04057	5.92359	7.24950	7.86493	43.63708	single
45	3.84291	29.32100	7.96954	53.10061	39.87066	1.00000	8.56112	5.29964	Chris Fox	no	211-85-2077	8.22775	5.67392	6.76308	7.38046	64.04009	single
46	5.99736	86.38537	8.39684	59.05205	30.66087	0.00000	5.85157	7.75105	Kimberly Smith	yes	729-96-5489	4.78908	9.57494	6.39519	6.41329	87.54230	widowed
47	9.27170	22.07732	6.05047	54.51062	52.27171	1.00000	2.90185	8.22536	Linda Pierce	no	368-75-7468	5.33010	6.35091	6.98373	7.11732	77.49876	single
48	6.49881	65.64989	6.45894	62.92409	49.62119	0.00000	5.86495	7.82658	Roberta Sandoval	yes	648-50-6760	5.58620	6.63745	5.39161	7.19453	70.07575	divoced
49	5.20391	169.05831	6.64308	48.70959	25.18869	1.00000	8.34039	6.68404	Mark Cook	no	157-67-8283	6.23647	6.41078	7.05447	6.25447	81.43374	married
50	6.91232	37.43755	5.29476	47.64582	48.95950	1.00000	5.83205	3.65974	Linda Allen	Y	276-32-5022	10.26067	4.93469	7.68472	7.04394	79.33882	married
51	5.67333	102.16378	6.15420	53.35727	67.58594	1.00000	8.89669	6.28441	David Weaver	no	662-64-3230	5.96371	6.10439	5.91042	5.77219	84.45697	married
52	6.80603	39.87548	6.94750	20.01704	33.28174	1.00000	2.92114	6.45901	Roger Reed	no	339-29-4321	10.93476	7.11878	7.85511	7.20656	71.00679	married
53	8.18240	97.17751	5.46711	26.30818	53.52277	0.00000	6.64165	7.46938	Tammy Martinez	yes	045-90-7442	4.05054	4.78175	4.51692	7.07256	73.41997	single
54	8.25382	64.37710	5.94978	41.33899	37.34749	0.00000	6.70684	9.18549	Raven Branch	no	560-42-7184	4.29623	6.35182	5.75536	5.56726	71.05053	widowed
55	7.17121	121.18698	7.99323	37.40538	83.37690	0.00000	7.17173	7.15330	Amy Alexander	no	667-25-3587	7.94938	3.66151	6.70147	7.18468	71.24656	divoced
56	6.93986	66.59970	9.15911	49.12829	45.88142	1.00000	7.46750	5.45922	Justin Reyes	no	872-93-4139	10.11664	5.91860	7.28601	7.06978	74.37568	divoced
57	8.80103	67.96920	7.50206	47.05775	47.85031	1.00000	4.62916	6.97658	Michelle Luna	no	784-46-5157	10.30252	5.92827	7.28782	5.69726	81.49088	divoced
58	6.22631	119.71278	6.35316	41.46389	33.92069	1.00000	7.49577	5.52678	Christian Wagner	no	111-88-0400	8.04518	4.98709	6.46350	5.46938	69.66041	married
59	7.85935	192.04950	7.73345	25.50653	55.87454	1.00000	6.18455	4.91400	John Perry	N	491-21-7861	8.16881	5.19970	6.31135	6.20293	84.37588	married
60	6.34530	87.64069	7.05470	43.35829	29.27705	0.00000	5.94866	7.59979	Christopher Brown	no	361-63-2900	8.39558	8.28880	7.17122	8.57278	21.48693	married
61	6.60691	59.00993	7.08035	64.16060	50.31194	0.00000	8.30353	10.33648	Jennifer Blake	no	660-67-9249	58.39741	7.92513	9.77683	5.32923	65.35777	widowed
62	8.15534	99.00204	4.85965	39.95514	56.59497	0.00000	5.48096	9.34768	Mary Harrell	no	152-83-1689	11.98048	6.96035	7.59895	6.09341	82.38724	nop
63	7.13808	37.07504	7.66386	41.92525	58.63667	1.00000	6.17978	5.30959	Caroline Mckee	yes	343-09-5317	10.75181	6.23706	7.27440	6.76983	85.42214	married
64	8.88825	111.46984	6.75646	53.34690	23.52614	1.00000	7.32039	6.56830	Helen Duncan	yes	699-50-2352	4.05233	5.85280	4.30591	6.44850	83.72602	widowed
65	5.96144	61.59582	7.07393	49.58255	52.94908	1.00000	6.85132	3.99044	Mrs. Kristen Silva	no	773-91-7626	6.50422	5.00466	6.02830	8.09847	38.86603	single
66	5.03082	50.62424	6.85044	72.66898	47.42691	1.00000	8.54811	5.94314	Sharon Lara	no	191-17-8961	5.44394	6.24703	6.53628	6.63080	83.76533	single
67	5.44793	39.98785	6.26737	46.98251	43.09958	1.00000	6.93394	4.75370	Rachel Sims	Y	344-93-9993	8.28044	5.98049	7.56125	6.81082	82.85157	single
68	8.07826	71.67022	5.76909	52.46291	56.79406	0.00000	7.59016	6.58705	Deborah Sanders	no	812-04-0163	6.19469	9.23393	6.69756	7.27656	62.55436	widowed
69	5.69702	78.32926	8.35305	47.23054	70.64110	0.00000	3.81656	6.85537	James Hanson	no	006-57-3368	20.49557	8.69816	8.43982	6.60776	89.86698	married
70	6.48966	-10.00120	6.19931	49.28199	45.38250	0.00000	6.40839	7.67719	Veronica Pearson	no	632-84-1522	5.12147	9.39321	6.67236	7.64909	49.37637	divoced
71	8.43117	88.97595	6.88322	33.76790	61.24095	0.00000	6.93712	6.16725	Christopher Anderson	no	063-47-4466	4.37417	3.68528	6.03399	6.32341	90.81474	single
72	8.55389	86.01105	8.15311	41.86041	41.69817	0.00000	5.01490	9.74877	Christina Rogers	Y	889-80-9081	5.39406	7.76722	6.01673	7.71320	51.01398	divoced
73	6.91821	100.52599	7.25601	39.97190	49.71183	1.00000	4.99046	5.98942	Kristie Stone	Y	216-86-3997	11.96171	6.88665	7.84198	8.48687	25.94788	divoced
74	7.33784	58.05123	7.90408	60.65561	39.79516	0.00000	6.07726	8.50635	Jennifer Price	no	123-31-5922	7.21635	5.42360	6.93693	6.29259	87.87537	married
75	6.23772	35.71565	5.71898	57.65006	35.35480	0.00000	6.33240	7.40745	Nancy Turner	N	258-24-1163	7.94949	7.23195	7.15951	6.32104	88.84129	separated
76	7.99051	43.85054	7.04711	45.34309	46.16228	0.00000	5.34393	8.60759	Erika Perry	no	696-44-2105	16.73139	6.21555	8.31900	7.50356	60.06592	separated
77	6.71169	42.53577	7.87134	44.88308	26.57873	1.00000	8.83623	5.72675	Mrs. Nichole Acosta DVM	Y	867-61-2115	3.94655	4.62924	6.06726	6.21623	87.22884	nop
78	3.91542	105.87702	9.10694	53.42345	39.66690	1.00000	8.39458	4.88601	Richard Kim	yes	320-06-8337	17.02404	5.21537	8.33760	6.64711		divoced
79	7.11554	12.50671	5.24747	42.66084	47.65050	0.00000	6.27811	8.27247	Robert Campos	no	157-89-3628	8.48266	4.95741	7.15740	6.61551	86.31746	single
80	8.90488	146.29230	6.67345	39.93699	72.23470	1.00000	5.00951	7.44099	Donald Ryan	N	132-83-4024	5.41461	6.29981	5.98399	7.50050	65.12715	single
81	6.54484	84.27509	6.45290	57.91305	55.89067	1.00000	8.21995	6.58462	Thomas Houston	no	593-18-1703	7.13516		6.34761	6.09660	83.39399	separated
82	6.38301	61.04394	6.20309	24.16070	63.72579	0.00000	6.72168	8.66758	Sherry French	no	289-46-2263	16.96507	8.48650	8.15552	7.37383	63.00558	married
83	7.96538	34.76289	5.93082	62.49365	45.00117	0.00000	6.03166	7.95260	Kristopher Williams	no	403-04-5862	7.38224	5.31815	6.88443	8.08088	40.53568	married
84	7.31967	81.63418	6.20718	77.94708	49.29762	0.00000	5.14345	9.98961	Brian Fowler	yes	277-41-7863	6.76988	7.09331	6.93438	8.15793	36.02159	divoced
85	5.42551	61.33428	6.17817	40.95692	62.43882	1.00000	9.49784	5.91351	Kimberly Patterson	no	400-04-9358	10.90015	5.10236	8.01373	6.83997	83.64314	widowed
86	9.26902	27.19495	7.06352	47.84412	51.13743	1.00000	7.78771	5.58136	Matthew Anderson	N	537-43-5947	4.57174	4.68832	5.71109	6.12072	88.85688	married
87	6.53604	13.38922	6.58300	32.53995	40.02985	0.00000	5.04890	10.58963	Jacob Gray	Y	113-70-4489	10.19443	7.10808	7.73685	4.74288	41.76728	married
88	5.96538	47.77078	5.76545	60.51463	47.72648	1.00000	7.66077	6.07355	David Ashley	yes	875-03-5732	7.33412	5.99184	6.86892	7.49570	65.02729	divoced
89	8.51585	88.71293	5.51945	46.65199	34.37139	1.00000	4.54489	6.32880	Michael Perry	yes	255-86-8143	7.50884	5.60986	6.75185	5.90809	89.94796	married
90	8.02833	30.62547	6.94446	40.65425	40.57512	1.00000	7.28405	6.40200	Jeffrey Barr	no	231-42-5618	16.90586	6.52141	8.35517	7.27914	59.93484	widowed
91	6.83750	53.97430	8.37941	42.96501	41.65950	1.00000	6.68228	2.83081	Keith Brooks	yes	623-75-3749	9.80075	4.38428	7.46131	6.18876	88.40795	single
92	4.09844	67.79688	5.13682	64.56772	67.06365	0.00000	6.05897	8.13967	Sergio Johnson	no	386-13-7461	7.31560	9.70512	6.92970	6.87695	82.17806	married
93	7.56184	95.69643	6.55325	81.66740	24.67457	0.00000	4.60535	11.27181	Christopher Roman	no	146-09-5065	9.94501	8.63096	7.31671	6.25869	92.36450	married
94	4.75838	87.43598	5.98573	48.64797	54.57733	0.00000	3.86425	9.59251	Diane Hartman	no	471-67-3240	7.85405	7.26385	6.86302	6.23256	82.09979	divoced
95	7.71577	81.44636	6.43389	59.96358	79.15318	0.00000	4.08172	8.55710	William Anderson	Y	523-83-5426	12.28267	6.50668	7.68200	5.62302	71.34011	single
96	8.41191	55.79014	6.31711	67.94902	23.47199	0.00000	5.63149	7.22345	Kevin Scott	yes	661-69-1608	5.88455	5.18412	6.66182	6.51929		nop
97	7.08523	61.47199	6.87186	69.13017	50.73963	0.00000	3.92092	6.93959	Angel Patterson	no	385-55-6381	5.89192	4.78579	5.57409	5.10684	65.06397	nop
98	8.82953	-8.05246	8.03373	48.54391	67.56099	1.00000	5.37535	7.08750	Kimberly Ramsey	no	737-62-2703	8.14527	6.09664	6.48239	6.36867	87.55276	nop
99	7.23551	85.54600	6.57262	28.11978	58.26696	1.00000	7.04891	3.87280	Desiree Bell	Y	806-34-9922	6.01362	2.60077	7.32559	6.94786	71.01008	nop
100	3.04376	87.03751	6.88500	41.29566	57.33795	1.00000	4.56766	9.32922	Patricia Lucas	no	802-17-9675	4.86879	7.48523	6.15954	7.35028	72.32113	separated
101	7.29162	32.79891	7.80277	58.74356	59.04943	0.00000	5.24148	8.27923	Jaime Patel	no	052-56-9248	4.83395	5.49801	5.65155	7.60140	54.27808	single
102	7.93610	41.25607	7.05543	43.92179	66.15940	1.00000	3.79439	6.86006	Nathan Brown	yes	574-18-4368	3.98208	6.52275	5.77328	7.07501	75.49439	married
103	7.69017	51.60715	6.61306	43.84218	50.05953	0.00000	4.02818	8.53114	Krystal Lee	Y	219-41-7681	9.55026	6.53216	7.34253	6.58392	84.25161	single
104	6.96597	119.47938	6.50868	28.90941	37.60850	0.00000	3.35062	9.00824	Kayla Rice	no	481-90-9605	15.80404	6.75394	7.91875	5.71801	81.31337	divoced
105	6.21353	92.86352	5.93042	69.38990	83.64824	1.00000	8.90565	8.06829	Carlos Ball	no	274-09-7323	8.88417	7.78304	6.81086	7.01979	74.38697	widowed
106	5.32721	168.04769	6.26943	45.46994	39.75885	0.00000	5.94065	7.26067	Derek Franco	no	862-65-9321	9.71982	8.95705	7.25997	6.85482	79.68624	divoced
107	4.46661	22.39507	6.45054	61.97160	54.89100	1.00000	8.17594	6.58433	Robert Johnson	N	760-77-7601	8.27981	6.80176	6.38376	8.05271	36.45807	nop
108	7.14980	95.37889	5.79848	70.09890	65.13191	1.00000	6.92280	2.44647	Daniel Jackson	no	718-08-7246	8.76471	3.78515	7.32755	4.18388	30.27358	married
109	7.61807	63.86448	6.46018	42.56545	40.22577	0.00000	4.22430	8.46490	Lindsey Hardy	yes	864-66-5797	5.09991	6.31791	5.93950	6.78030	80.72070	divoced
110	8.02716	72.86122	5.36490	50.20061	28.74262	1.00000	4.62211	6.17396	Patrick Snyder	no	045-18-6488	9.26692	5.95146	6.99785	6.29532	85.21414	single
111	7.75035	20.63077	7.39725	53.89520	62.79495	1.00000	6.26536	4.89640	Stephanie Dominguez	no	229-35-1077	7.52308	5.30151	7.21271	7.88289	46.14759	single
112	7.33518	79.31531	7.55399	56.25004	58.03554	0.00000	3.90109	10.38821	Christian Willis	no	372-36-5989	12.49558	7.98397	7.54107	5.63322	75.78429	married
113	8.49121	76.20595	5.07599	44.47994	63.24682	1.00000	5.29859	5.39788	Cheryl Adams	N	560-66-0200	4.20710	4.90219	6.58112	8.74522	20.32889	married
114	7.41775	143.97852	7.82517	30.45286	59.51250	1.00000	5.25618	5.69673	Juan Sanford	yes	546-72-9434	6.42634	6.18867	6.84175	6.11761	84.73259	separated
115	7.17971	55.87078	6.85472	57.56501	72.50362	1.00000	8.25329		Emily Gordon	N	444-03-5742	10.66957	4.62076	7.09329	6.16359	88.47155	married
116	5.32819	57.43018	6.63951	41.25893	38.17761	1.00000	7.07682	4.10984	Kenneth Crane	no	752-99-1130	17.37282	4.62170	8.37219	5.62379	80.74558	nop
117	3.93866	37.90978	6.45972	51.78535	62.22226	1.00000	6.92353	4.85615	Patricia Lopez	no	761-33-6539	12.41357	6.21799	7.36975	6.55588	82.72866	married
118	8.03076	43.66468	6.35106	41.92445	60.62303	1.00000	5.69996	5.07966	Vincent Lara	no	228-49-3341	6.17081	5.11762	6.16528	6.45283	86.71169	widowed
119	6.01054	12.09152	7.55417	33.16270	38.97225	1.00000	8.44866	4.89462	Joe Friedman DDS	Y	436-65-1142	8.82750	4.69366	6.64240	5.62409	80.55486	separated
120	5.54863	63.89940	5.69941	42.60096	70.32288	1.00000	8.35241	4.32097	Joseph Shaw	no	073-68-7914	11.95529	4.42114	7.40081	7.51376	55.64882	married
121	5.09677	42.84130	7.90520	56.06720	62.08274	0.00000	4.90919	7.85566	Trevor Rivera	no	382-63-6308	9.40778	7.74905	7.42938	8.29326	39.06502	married
122	8.10710	39.00135	8.38858	54.70997	33.78027	1.00000	5.41744	6.11983	Donna Chung	no	787-46-0266	3.85100	5.93578	5.56195	7.33496	65.36746	married
123	9.09624	88.45036	6.91697	32.40014	25.87388	1.00000	2.96160	7.44523	Martha Stanley	no	287-70-9176	3.70682	5.81910	5.37604	8.25943	30.95618	married
124	5.53289	36.85255	8.03494	47.97829	55.26458	1.00000	6.66402	5.57213	Ashley Davis	no	396-43-8747	4.87730	6.38818	6.28184	8.14931	38.18276	single
125	4.81282	127.82937	7.70732	53.32058	40.07327	1.00000	4.58228	9.07672	Christopher Martinez	yes	225-12-3350	12.58793	7.84730	8.04085	6.24433	87.83534	single
126	4.36842	93.57707	5.63779	66.07791	38.45706	1.00000	6.40662	5.81589	Sarah Perez	Y	497-38-3001	9.46291	7.80095	6.63822	6.30871	82.62811	divoced
127	9.41089	49.37345	7.87912	46.98765	55.26019	0.00000	7.94476	3.73505	Maria Carter	no	881-67-7232	11.50055	1.82107	6.96981	6.47136	90.09175	single
128	8.91631	83.53921	6.11355	68.64668	46.95654	1.00000	6.79040	6.69084	Elizabeth Jones	no	664-42-4972	6.96568	5.86799	4.91445	7.42771	59.43073	divoced
129	6.41047	48.45200	6.92677	25.32278	69.98275	1.00000	4.00461	5.19360	Christopher Garcia	Y	008-61-7622	7.42621	6.52047	7.70565	8.24460	35.92422	single
130	4.31716	41.78856	7.40090	59.58810	55.61843	0.00000	3.86186	6.77833	Pamela Hill	no	674-14-7770	3.58272	9.51870	6.08430	7.80447	48.21021	widowed
131	7.21287	20.81783	7.66392	65.73322	32.94294	1.00000	6.83889	4.35640	Brenda Cohen	no	816-48-3131	4.33287	5.15591	6.03597	6.71332	78.81143	separated
132	6.78693	92.48895	7.04622	51.60760	45.66847	1.00000	7.02714	3.42951	Mary Hunt	no	163-42-9155	7.29825	5.02401	6.09804	7.62074	59.04395	married
133	5.06896	109.52159	7.76919	36.08162	64.23541	1.00000	7.21774	5.21248	Melissa Garcia	no	592-54-1134	7.83952	5.98935	7.31086	8.35194	29.46577	married
134		33.32603	5.31522	56.21230	45.60332	0.00000	4.94994	8.53498	Jessica Day	yes	397-44-7600	5.73424	6.10715	5.99070	5.54208	70.64406	divoced
135	6.77365	35.99484	5.07174	32.87193	63.40887	0.00000	6.64323	6.81951	Brenda Coleman	no	226-60-8329	5.02066	7.30268	6.96710	8.16195	37.79047	nop
136	7.00752	-15.13308	6.48910	49.95338	55.54749	1.00000	7.28279	3.91837	Molly Cook	no	038-81-2005	8.33515	5.28693	7.16776	6.82878	86.01269	divoced
137	7.15136	92.35130	6.81304	40.21447	49.68871	1.00000	4.40876	5.97182	Jordan Mcdaniel	N	466-32-7409	7.06645	6.56956	6.98175	6.95341	78.52897	divoced
138	8.00542	144.49629	7.20929	40.49360	22.64658	0.00000	3.99102	8.11481	Laura Walker	no	798-61-4729	17.12817	6.37221	8.36135	8.46286	19.08145	widowed
139	6.56904	37.72224	6.69333	17.63635		0.00000	4.03141	10.69632	Darren Mejia	yes	891-12-2988	8.73283	7.67872	6.78461	7.64460	57.33584	separated
140	7.11211	105.29801	5.02883	45.76123	63.09693	1.00000	5.19181	4.87530	Gail Walker	no	587-08-6094	8.44561	5.74375	6.81307	8.08994	40.18185	nop
141	9.26055	56.47626	5.26638	35.48455	43.77715	1.00000	6.15705	8.30189	David Carey	no	821-20-9967	7.23997	6.88665	7.04476	5.63908	77.19563	divoced
142	6.89967	64.22497	7.24406	48.51121	49.91079	1.00000	7.99762	5.74275	Tracy Shea PhD	yes	573-68-2593	6.25196	5.44428	6.24046	7.80689	47.99431	divoced
143	7.49552	80.45537	5.97121	57.84154	55.02073	1.00000	5.75376	6.04928	Jordan Brown	Y	204-44-0123	7.65340	6.50517	7.19475	6.76273	78.28724	married
144	6.69836	121.56013	7.80567	59.63384	39.62137	0.00000	7.50742	7.76637	Tony Holland	no	669-70-2941	7.38040	9.88690	6.43148	7.77654	44.75771	widowed
145	5.59405	114.81826	7.13296	27.65426	53.52084	1.00000	6.57331	3.17158	Brian Bell	no	874-68-8877	10.53457	2.98635	7.56252	7.59534	56.93882	divoced
146	7.22594	161.94886	6.16480	51.79312	41.50482	0.00000	6.64600	4.82980	Teresa Sullivan	no	080-86-3320	7.50745	5.79120	6.57928	7.40890	64.40267	married
147	7.69942	23.51099	7.93686	59.78136	52.21534	1.00000	4.12965	7.40135	Ryan Higgins	no	821-76-7889	9.54177	7.29811	7.14320	7.82693	46.89613	widowed
148	4.97028	57.77890	7.40215	40.53238	57.69565	1.00000	9.36023	6.40260	Joseph Bernard	no	809-20-6478	4.03927	5.53279	6.52997	7.04638	73.84803	single
149	8.17499	92.37965	6.22777	39.79481	28.29490	0.00000	4.92665	9.23037	Dr. Ariana Lopez	Y	556-22-2974	13.36647	7.07654	8.06968	8.41027	20.65619	married
150	7.37520	15.69050	7.16151	17.85757	54.02739	1.00000	6.06353	5.47924	Whitney English	Y	385-47-6105	10.47357	6.15348	7.56353	6.69003	82.48792	married
151	7.95369	52.15837	5.17139	55.79061	27.03855	1.00000	6.25665	5.91863	Gina Martinez	Y	381-01-2855	5.11066	6.02342	6.33606	6.18857	83.91277	married
152	6.81767	45.01634	6.22281	62.38110	55.28150	1.00000	4.48311	5.20907	Katrina Barrera	no	636-49-6483	13.60375	6.21641	7.89066	8.96187	17.38952	married
153	6.40812	81.32162	5.76318	50.57298	38.30331	1.00000	8.73485	6.03291	Whitney Mcpherson	Y	352-48-9596	2.22282	5.48544	5.90532	9.41787	6.88333	nop
154	7.62069	15.86904	6.69879	57.50307	52.18962	1.00000	8.23543	6.49470	Shannon Martin	no	469-13-4180	13.33487	5.42666	7.62416	7.46759	60.88023	married
155	4.01888	92.21104	6.15827	43.52638	56.42964	1.00000	7.84783	5.30133	Elizabeth Berry	Y	846-45-6628	6.74562	5.99245	7.11971	7.27683	66.92707	widowed
156	4.35080	71.75921	7.58951	39.37978	43.99778	0.00000	5.16963	7.86438	Jessica Terry	yes	827-19-4485	8.32859	6.96423	7.25397	8.22651	36.57475	nop
157	7.48507	10.53691	7.86456	54.50698	42.04965	0.00000	4.79232	10.06450	David Nguyen	no	688-14-2201	8.35645	7.39511	7.40296	5.90032	84.31237	widowed
