job	company	sex	residence	blood_group	ssn	name	birthdate	race	age	leukocyty	weight	hbver	HK group	weight group	er-cv	ast	indicator	hematokrit	trombocyty	smoker	alt	etytr	erytrocyty	hemoglobin	alp	relationship
Sales promotion account executive	Torres-Lawrence	M	"7714 Mason Dam
Nicholastown, CO 88041"	O+	063-21-7392	Juan Lopez	1944-02-14	Black	77	8.95118	33.56315	8.59935	2-3	30-40	40.98724	42.46406	1.0	2.28023	7.67106	no	4.77518	6.05992	6.51534	6.85573	79.70164	divorced
Education officer, community	Daniels LLC	F	"6531 Vargas Shoal
Rebeccashire, CT 69391"	B+	193-73-7552	Melissa Wiggins	1930-11-24	White	90	5.86043	51.79974	7.13771	9-10	50-60	63.41651	51.15561	1.0	9.31818	5.4133	yes	8.12565	4.20602	6.93059	5.80538	86.86551	divorced
Jewellery designer	Mccall-Fowler	M	"803 Dean Square
Port Maryside, OK 65389"	B+	709-50-2236	John Gutierrez	1963-04-04	White	58	4.74019	44.58794	6.09547	7-8	40-50	41.50653	33.69117	0.0	7.44804	7.65256	yes	5.52328	11.90703	6.89312	8.0862	29.29216	married
Editorial assistant	Jacobson Group	M	"30116 Julia Circles
South Brianchester, NJ 29435"	O+	828-80-3915	Tim Chen	2005-10-03	White	16	8.44866	92.43032	5.60779	6-7	90-100	48.06069	46.91795	1.0	6.24127	6.40848	yes	5.34909	5.98579	6.12707	6.70992	84.26339	single
Programmer, applications	Garcia, Rodriguez and Lester	F	"679 Donna Stream Apt. 759
Rebekahton, LA 35084"	O-	210-27-1118	Patricia Reyes	1973-10-31	White	48	6.82829	46.94075	6.99176	7-8	40-50	52.87558	39.09964	1.0	7.86709	4.20319	no	4.30521	3.98136	5.68295	6.16551	82.23179	married
Chiropractor	Rodriguez Group	F	"Unit 2498 Box 7858
DPO AP 97541"	B-	824-66-9972	Morgan Grant	1980-01-24	Black	41	7.84553	91.27101	5.71999	4-5	90-100	35.50041	59.85827	1.0	4.88625	6.13337	yes	6.31977	6.1074	5.28715	5.25434	69.89945	nop
Archivist	Hunt-Bates	F	"84466 Justin Lakes Apt. 904
Timothymouth, MS 30345"	A-	353-43-4055	Hannah Herman	1944-10-18	White	77	7.08746	54.79458	5.73406	4-5	50-60	43.08762	53.22517	0.0	4.20726	6.80309	no	11.42332	4.50898	7.69049	7.22954	71.68283	nop
Financial adviser	Irwin, Joyce and Howell	F	"23929 Amber Land
Ryanborough, MI 27287"	O+	101-26-0327	Mary Livingston	1977-10-24	Asian	44	7.16673	58.53259	7.93229	6-7	50-60	46.63582	32.69983	1.0	6.53859	3.44749	no	25.54512	4.59688	8.78099	6.63224	85.45975	separated
Wellsite geologist	Turner-Hartman	M	"4256 Peterson Isle
South Sarah, MS 20360"	AB+	764-87-5457	Robert Blankenship	1908-10-18	White	113	8.28783	108.68687	6.88166	6-7	100-110	16.6747	56.25051	0.0	6.63852	8.15859	no	5.40448	5.47844	6.37367	5.26855	71.10316	nop
Civil engineer, contracting	Horn, Parks and Houston	F	"621 Gomez Square Apt. 542
Johnsontown, PA 62876"	B+	854-22-2628	Janet Alvarez	1982-03-11	White	39	4.95173	17.82971	6.35979	9-10	10-20	42.75386	46.46849	1.0	9.61957	5.65831	yes	1.99076	4.21347	5.47161	6.26458	86.48821	separated
Armed forces training and education officer	Barnett-Watson	M	"8815 Collins Loop Suite 852
North Karentown, OH 55851"	O+	648-26-3720	Jose Brandt	1910-04-07	White	111	3.80516	84.09441	5.73167	7-8	80-90	54.20972	48.60474	1.0	7.87416	6.5595	no	10.79499	8.34176	7.21307	5.91782	81.69319	married
Agricultural consultant	Williams-Wilson	M	"92055 Holmes Mill Suite 266
Lake Michaeltown, HI 49159"	B+	791-34-9136	Travis Kelley	1945-05-06	White	76	6.41148	34.27715	8.06722	8-9	30-40	31.21485	45.0422	1.0	8.57712	6.46608	no	4.30572	5.19115	5.38899	5.71399	86.1995	divorced
Occupational psychologist	Andrade and Sons	M	"1063 Stark Land
Kevintown, IN 03098"	AB-	280-81-2382	Travis Allen	1912-04-15	Indian	109	7.78335	105.10769	7.40731	5-6	100-110	48.88227	71.24439	1.0	5.88312	5.54136	no	4.0162	5.79702	4.20195	5.8493	77.67606	married
Programmer, systems	Ashley-Ali	F	"56927 Angela Curve
Lake Kellymouth, IN 51420"	AB+	616-24-3554	Jennifer Hall	1994-09-18	White	27	8.19808	78.63945	6.04814	5-6	70-80	49.90485	35.2749	0.0	5.13452	6.87807	no	11.76369	4.92631	7.15847	5.30312	68.63848	married
Health visitor	Maldonado, Berg and Page	M	"07213 Fitzgerald Crossing
North William, SC 64396"	O+	853-89-2592	Colton Li	1991-06-30	Asian	30	5.90436	109.91097	7.01262	6-7	100-110	61.73828	42.38735	0.0	6.22095	7.25777	yes	8.54065	8.69928	7.44765	5.38057	67.80183	single
Tax adviser	Petty-Sanchez	M	"Unit 9356 Box 5312
DPO AA 04557"	AB-	870-11-0849	Christopher Foster	1921-11-04	Black	100	6.76315	66.67727	5.3272	6-7	60-70	50.37034	54.09865	0.0	6.58915	6.68849	no	12.41225	8.79634		6.51676	81.98312	divorced
Software engineer	Willis-Nolan	M	"7626 George Canyon Suite 659
Margaretborough, AL 69716"	B-	256-22-5375	Matthew Sparks	1935-01-27	Black	86	6.62785	44.55453	5.3654	6-7	40-50	39.95467	52.20434	1.0	6.5313	4.26553	no	6.927	4.61992	7.20145	6.44865	85.48087	divorced
Hydrographic surveyor	Brooks PLC	F	"41423 Sean Wells Apt. 784
Mahoneyville, NC 49591"	B+	008-18-9730	Kara Baxter	1914-01-18	Asian	107	7.79657	61.49051	7.8813	4-5	60-70	45.84298	40.53833	1.0	4.53217	5.96383	yes	8.28461	5.96643	5.56068	6.08512	83.93113	married
Materials engineer	Flores, Mckinney and Sanchez	M	"533 Shelia Station
Kinghaven, NE 23544"	AB-	729-85-3826	Frank Long	1948-05-09	Black	73	4.12723	102.76545	7.01953	7-8	100-110	47.79955	27.5045	1.0	7.92935	5.40094	no	4.07784	6.18338	6.04345	6.64331	83.04205	divorced
Engineer, mining	King, Brooks and Buckley	M	"0851 Wilkins Valleys
West Melissa, MS 89661"	O-	531-95-8329	Joshua Silva	1960-05-02	Black	61	8.09922	56.09014	7.43945	7-8	50-60	67.91523	44.96387	1.0	7.41424	4.35668	no	6.67387	3.44938	6.50563	6.54933	79.13671	married
Outdoor activities/education manager	Hall, Robertson and Wells	F	"44681 Bridges Oval
Andreatown, UT 08062"	B-	321-47-3819	Jessica Perez	2004-06-11	White	17	8.57673	98.61518	6.23998	5-6	90-100	53.78092	33.13581	0.0	5.82133	10.05039	yes	5.7669	7.71871	6.97849	6.2402	85.39955	single
Engineer, technical sales	Murphy, Avery and Navarro	M	"54113 Stephens View Apt. 325
Port Jennifer, OR 16214"	AB-	725-64-4058	Steven Ford	1960-10-22	White	61	5.84301	88.07567	7.11301	7-8	80-90	61.08502	56.11737	1.0	7.03818	5.0315	no	7.90053	5.70045	6.99588	5.832	79.9746	married
Accountant, chartered public finance	Alvarez, Johnson and Kelly	M	"26627 Stephanie Mill
Smithview, NY 39183"	O-	335-91-0692	Samuel Hood	1947-09-08	White	74	5.69239	78.81837	7.893	8-9	70-80	25.75832	33.27284	1.0	8.2124	5.26537	yes	7.99672	6.01105	6.56042	4.08632	29.65718	divorced
Meteorologist	Schwartz-Snyder	F	"08924 Angela Way
South Jesse, DE 51119"	B-	198-17-5818	Karen Neal	1941-02-17	White	80	8.5965	32.38301	7.01775	8-9	30-40	49.7057	56.42814	1.0	8.50557	5.83994	no	7.34084	5.66241	6.96609	6.04052	87.06711	divorced
Theme park manager	Hogan Group	M	"2181 Martin Hills
South Ericaview, GA 15679"	B+	828-98-6322	Jacob Cole	2007-02-03	White	14	6.72696	121.89225	8.15411	5-6	120-130	35.79333	39.10058	0.0	5.02588	7.65914	no	5.99241	6.28452	6.53981	8.00188	34.82584	single
Race relations officer	Martin, Russo and Gonzalez	F	"98561 Adam Mill Apt. 812
East Ryan, WV 37007"	AB+	729-58-4303	Mary Hardin	1956-03-07	White	65	7.80035	76.73828	6.42504	5-6	70-80	41.61946	48.71248	0.0	5.07039	7.80587	no	7.16692	5.58471	6.07556	7.01519	79.95226	single
Senior tax professional/tax inspector	James, Butler and Hale	M	"789 Woodard Estate
Port Nicholasfurt, TN 83045"	AB+	769-41-0564	Jonathan Miller	1942-10-17	White	79	6.90715	70.23772	6.39316	9-10	70-80	70.37253	54.22347	1.0	9.37607	7.66864	no	10.24054	7.11996	7.62017	6.96953	70.47772	separated
Regulatory affairs officer	Grimes, Burch and Ward	F	"31327 John Extensions
Gabrielletown, AR 53585"	B+	444-41-7262	Mary Blake	2015-08-14	White	6	6.43177	78.869	7.91529	7-8	70-80	41.26152	30.15062	1.0	7.85696	5.07517	no	7.29023	4.73032	3.27545	5.35586	66.80153	married
Runner, broadcasting/film/video	Brown-Bowman	F	"65147 Rachel Plaza Apt. 114
New William, ND 40640"	O-	723-97-4913	Ashley Coffey	1962-12-18	Black	58	8.22368	23.03148	8.21735	4-5		44.69393	56.63946	1.0	4.50761	6.31082	no	8.50974	5.85952	6.98976	6.23824	82.87114	divorced
Catering manager	Bailey PLC	M	"Unit 5879 Box 2803
DPO AP 52478"	B-	197-79-0083	John Walton	1933-05-03	White	88	4.34715	82.84947	4.92486	8-9	80-90	44.4292	51.54406	1.0	8.63843	4.71544	yes	12.63582	4.71427	7.52013	8.35204	30.36534	married
Theatre stage manager	Carter-Moore	M	"7767 Davis Club
North Lisa, FL 07293"	O-	799-21-4969	Dr. Mark Levy	1950-09-04	Black	71	5.27365	79.92145	7.04419	5-6	70-80	39.96508	58.8587	1.0	5.65481	2.84522	no	7.61819	3.8118	7.22341	8.56456	18.1927	single
Scientist, marine	Elliott Inc	F	"Unit 8657 Box 8158
DPO AA 93212"	B-	321-27-8951	Jennifer Acosta	1952-08-09	White	69	7.7654	75.07557	5.20221	4-5	70-80	69.61041	36.97458	1.0	4.80514	5.36212	no	8.29215	5.49453	6.70316	7.15587	73.37841	widowed
Television camera operator	Brown-Butler	F	"129 Timothy Mill Apt. 258
Wadestad, KS 41104"	B+	173-91-7343	Julie Mann	2002-11-26	Black	18	5.53772	60.20548	5.69286	4-5	60-70	48.88834	58.16991	0.0	4.86311	7.03477	yes	3.22542	7.0612	5.90252	7.65359	50.84894	single
Broadcast journalist	Herrera and Sons	F	"1489 Petersen Club Apt. 754
East Chad, OR 56126"	A-	458-16-9681	Miss Ann Wilson	1963-11-21	White	57	5.06185	55.77776	7.81922	4-5	50-60	65.14027	41.65886	0.0	4.5896	7.57874	yes	10.77497	7.50775	7.25654	4.65494	43.95961	single
Primary school teacher	Flores-Mcdonald	F	"980 Miller Burg Suite 621
Samanthashire, MA 39568"	O-	885-26-1067	April Johnson	1967-04-13	White	54	5.62975	83.22024	6.19841	8-9	80-90	21.10321	44.87542	1.0	8.22741	7.11193	no	11.08349	8.1951	7.62175	6.6089	93.52506	widowed
Health service manager	Baldwin Inc	F	"89571 Susan Roads
Steeletown, NM 46123"	B-	036-96-3977	Melissa Sanders	1919-11-05	Black	102	7.93753	80.48512	7.31968	6-7	80-90	50.64832	39.298	0.0	6.52106	8.14695	no	5.85497	5.31832	5.47024	8.33208	30.10956	single
Research officer, trade union	Robertson-Charles	F	"41741 May Light Suite 683
North Patrick, MO 03024"	A+	328-10-0291	Jade Rodriguez	2010-02-22	White	11	8.54856	88.39382	7.36611	6-7	80-90	15.13358	53.92303	0.0	6.79684	8.01424	yes	3.61114	5.46856	6.34776	6.01021	81.33458	married
Television/film/video producer	Barton and Sons	M	"23232 Gomez Drive
Lake Phillip, VT 81637"	O+	237-79-6883	Joseph Larsen	1913-06-27	Indian	108	6.91378	13.42647	7.23273	5-6	10-20	49.12777	54.2617	0.0	5.11351	10.93232	no	5.06416	7.67432	6.53739	7.98512	41.41077	divorced
Conservation officer, nature	Bryant-Wright	M	"2858 Schroeder Meadows Apt. 857
Sharpland, ID 63028"	B+	064-37-9611	Greg Harris	1921-03-05	Black	100	8.22365	35.46911	6.59603	5-6	30-40	72.16483	67.53487	1.0	5.95051	4.98333	no	6.3064		7.17118	7.41963	66.57675	divorced
Manufacturing systems engineer	Moore, Combs and Ross	F	"82234 Cantrell View Suite 484
East Jasonstad, CA 38344"	A+	437-89-8414	Victoria Green	1973-04-09	Asian	48	4.57015	42.64499	6.53529	4-5	40-50	38.24696	47.96451	0.0	4.18434	7.50593	no	6.38611	6.55028	6.68613	6.72602	85.58212	divorced
Chartered legal executive (England and Wales)	Hernandez Inc	M	"1378 Patricia Port
Port Crystalberg, HI 75205"	A-	712-31-5915	Samuel Joseph	1969-03-14	White	52	8.45367	90.01061	4.77087	5-6	90-100	29.61939	65.67398	0.0	5.49727	7.27788	no	5.75644	5.2986	6.63494	7.2198	69.96088	separated
Mental health nurse	White, Oconnell and Collins	F	"699 Emily View Suite 997
Camposchester, AL 93884"	B+	758-67-1981	Lisa Rodgers	2005-07-24	White	16	8.02075	125.44413	6.54437	6-7	120-130	41.12684	51.35123	1.0	6.99628	4.29948	yes	5.74248	3.68773	5.60576	6.61387	83.2114	married
Tourist information centre manager	Moore LLC	M	"2903 Matthew Center Apt. 222
South Christopher, MA 66170"	B-	824-95-3240	Ian Lee MD	2006-08-04	White	15	5.72856	99.25707	5.34431	10-11	90-100	65.79196	57.59365	1.0	10.20629	7.30918	no	4.49381	6.73757	3.41251	6.793	80.70368	separated
Higher education careers adviser	Anderson-Garrett	M	"USCGC Murphy
FPO AA 74283"	O-	407-53-2008	Jeremy Greer	2000-09-04	White	21	4.46244	97.22164	5.81367	4-5	90-100	28.54642	41.72965	0.0	4.47954	8.15399	no	6.29053	9.27016	6.06763	6.98096	78.9087	married
Hotel manager	Tran LLC	F	"9689 David Glens
South Carloshaven, IA 09991"	AB+	325-92-3302	Carrie Hunter	2002-01-01	Asian	19	7.34165	6.47667	5.94267	5-6		44.01347	42.30374	0.0	5.72983	5.71801	yes	11.88529	3.08876	7.77036	6.45115	91.86834	widowed
Editor, commissioning	Holden LLC	M	"11600 King Oval
Veronicaview, MO 30600"	O-	206-27-3812	Steven Donovan	1949-12-08	White	71	7.09789	41.95999	5.07488	6-7	40-50	44.35599	44.75593	0.0	6.34939	7.9349	no	5.16915	4.65164	5.57093	8.2321	33.42591	divorced
Food technologist	Wood-Rodriguez	F	"2894 Brenda Crossing Apt. 615
Lauraport, NE 83268"	B+	384-63-5796	Brenda Vasquez	2019-11-14	White	1	7.33495	83.83669	5.74195	2-3	80-90	45.61935	68.5616	0.0	2.71648	6.41728	yes	5.27052	4.99666	6.80872	6.81163	81.34056	widowed
Medical secretary	Williams Group	M	"1869 Fuller Junctions
South Denisechester, CT 60695"	B-	156-80-0964	William Calderon	1979-09-28	White	42	4.7336	52.72374	6.37596	6-7	50-60	50.8567	46.33468	0.0	6.71531	9.00145	no	7.24699	8.4457	6.38679	6.76573	86.98679	married
Pensions consultant	Huff, Mcdowell and Lynch	F	"PSC 9200, Box 4276
APO AE 46040"	O+	818-51-5718	Stephanie Doyle	1977-07-05	Black	44	8.73465	60.76254	6.74112	5-6	60-70	47.96367	44.67175	1.0	5.37624	7.3771	yes	2.08235	6.44922	5.97926	5.9845	79.4684	divorced
Psychotherapist, dance movement	Barrett, Bates and Miller	F	"14642 Cook Harbors
East Stephanie, MT 71583"	A-	627-63-2321	Bridget Gross	2013-12-06	White	7	5.44222	54.49019	7.56642	7-8	50-60	34.05662	41.6014	1.0	7.71386	5.93074	yes	8.58685	5.54407	7.51011	6.72394	92.0687	married
Hotel manager	Gordon-Thompson	F	"04219 Randy Park Suite 442
East Charles, VA 27748"	O+	341-20-0858	Pamela Bond	1922-03-11	Asian	99	6.42655	73.36407	5.48801	3-4	70-80	49.08892	52.91137	0.0	3.97298	7.62873	no	5.01198	4.89087	5.37556	6.01906	85.50055	single
Ecologist	Clark Ltd	M	"9863 Kayla Tunnel
Lake Michellemouth, HI 84109"	B+	005-24-3805	Kevin Luna	2017-11-03	White	4	5.73515	78.25241	5.08635	5-6	70-80	50.92388	75.6658	0.0	5.03515	7.04218	yes	2.9592	7.89714	5.25663	6.37408	92.01501	married
Administrator, education	White LLC	M	"PSC 8321, Box 2722
APO AP 48310"	B+	479-47-2114	Shane Ryan	1985-01-12	White	36	8.59461	46.0265	8.54842	4-5	40-50	39.65128	48.3683	0.0	4.70117	8.60646	yes	8.11598	6.91933	7.17472	7.89064	47.73765	divorced
Cytogeneticist	Wolf-Peterson	F	"771 Huynh Knoll
North Brendaport, WI 23480"	AB+	203-47-8636	Nicole Frost	1912-11-22	Black	108	6.60343	25.81903	6.66344	7-8	20-30	43.98755	39.80974	1.0	7.87559	5.33864	no	6.26622	4.96616	6.66386	6.25351	80.83214	single
Horticulturist, commercial	Peters and Sons	F	"403 Carter Field
Kevinberg, MI 38388"	A+	448-29-7446	Michelle Kennedy	1985-06-18	White	36	5.82751	58.38805	5.43448	7-8	50-60	43.38815	70.71639	1.0	7.58948	5.31289	no	4.07056	5.10557	5.71614	4.89057	61.71181	divorced
Music tutor	Lopez-Malone	M	"85375 Russell Mill Apt. 964
Caseychester, OK 76007"	B+	644-66-5545	Matthew Wheeler	1957-11-03	Hawaiian	64	8.26006	16.73598	8.78065	4-5	10-20	39.79213	49.71368	0.0	4.85633	6.44211	no	4.69271	4.69322	6.44306	7.2482	68.24625	separated
Graphic designer	Williams, Howard and Sandoval	M	"092 Flynn Avenue
Coffeystad, SD 06800"	O+	460-45-7361	William Harris	1971-05-24	Black	50	6.31577	53.20992	7.96424	7-8	50-60	47.63706	61.79255	1.0	7.46888	6.18585	no	7.52379	6.39686	7.11771	7.7426	53.20411	divorced
Community development worker	James Ltd	M	"USNS Thompson
FPO AE 02389"	A-	161-83-4395	Michael Jones	1923-05-21	Black	98	6.49264	135.78285	7.85542	5-6	130-140	50.31619	32.03143	0.0	5.67211	7.63157	yes	13.52383	9.55797	8.24704	6.89003	77.64906	separated
Sport and exercise psychologist	Ford-Larson	M	"523 Justin Stream
Leblancmouth, TN 82421"	O-	171-80-4450	James Jacobs	1965-09-26	White	56	6.86321	73.53311	6.15381	4-5	70-80	58.47266	57.62506	1.0	4.6703	4.8087	yes	4.95914	5.84321	5.08059	6.02003	87.73148	nop
Clinical molecular geneticist	Peters, Hill and Carter	F	"49819 Jennifer Motorway
Simpsonport, AZ 63734"	O-	569-42-9748	Jennifer Williams	1928-07-13	White	93	8.28909	79.1736	5.36126	6-7	70-80	52.80955	34.49812	1.0	6.01347	5.03813	no	3.77346	4.88583	6.08672	6.69927	83.53788	married
Chartered loss adjuster	Lewis Group	M	"339 Johnson Stream
Lake Ryanburgh, AL 37074"	O-	506-31-1710	Nathan Patterson	1994-08-02	White	27	5.54831	78.43396	6.72154	8-9	70-80	55.64838	42.09986	0.0	8.01831	9.29531	no	9.05022	6.98666	6.97507	6.72442	80.41016	divorced
Fish farm manager	King Group	F	"76392 Yu Ranch
Ryanbury, AK 46824"	B+	136-45-3845	Karen Graham	1990-10-30	Black	31	8.21661	72.00159	7.46897	5-6	70-80	61.95315	44.27232	1.0	5.82747	6.01717	no	8.56953	5.80276	7.0432	6.16575	91.574	nop
Lecturer, further education	Mcdonald and Sons	M	"78505 Barry Gateway Suite 786
Murrayfort, ND 73915"	B+	312-33-4227	David Bryant	1911-01-20	White	110	6.42911	100.90733	6.28431	8-9	100-110	52.79494	45.62138	1.0	8.53177	5.09973	yes	8.00879	4.26616	6.42214	5.86902	88.47582	divorced
Statistician	Mitchell-Barker	M	"0050 Johnson Burg Suite 460
Denisetown, GA 03459"	AB-	166-29-7678	John York	2007-04-03	White	14	7.2938	94.30751	7.14488	8-9	90-100	53.07173	59.41166	1.0	8.23784	5.48473	no	10.11624	4.39604	7.48127	6.80368	79.8526	divorced
Fashion designer	Thomas, Webb and Knapp	F	"57242 Nicholas Gateway
Danielsmouth, NC 42311"	B+	648-94-8867	Isabel Whitaker	1937-06-17	White	84	4.16592	24.13353	7.24013	5-6	20-30	41.46994	68.96567	0.0	5.68338	9.16082	yes	10.58431	6.44053	7.40549	6.37017	80.98115	divorced
Radiographer, diagnostic	Baker Group	M	"516 Miles Road Suite 922
Anthonyland, ND 48961"	B-	474-99-6291	Tommy Cortez	1916-01-30	White	105	5.5403	77.77389	7.04417	7-8	70-80	60.87746	47.93448	1.0	7.31424	6.44371	no	7.88751	7.36677	7.17433	9.92513	17.96263	married
Tax inspector	Morton, Craig and Carter	M	"2892 Robin Row Suite 883
Shellyborough, MI 90852"	B-	028-83-9080	Christopher Mcdaniel	1913-09-24	White	108	6.69693	89.77636	7.42718	8-9	80-90	45.57682	51.00525	1.0	8.33347	6.24625	yes	6.84124	5.6545	5.69138	6.72568	83.31482	separated
Teacher, early years/pre	Daniel and Sons	F	"758 Brandon Bridge
Richardview, FL 91553"	B+	452-48-4513	Veronica Hernandez	2000-03-12	Black	21	5.66341	47.62402	7.43495	8-9	40-50	21.14882	52.96012	1.0	8.21896	5.87095	no	3.01158	5.63696	5.71455	5.82275	78.18881	single
Architectural technologist	Green-Holt	M	"443 Lee Course
East Colton, WA 24329"	A-	331-92-0253	Glenn Curtis	1959-02-24	White	62	6.704	108.0596	7.01432	5-6	100-110	62.2086	38.3844	1.0	5.87031	4.04735	no	24.81267	5.4805	8.78417	7.26994	67.58772	divorced
Financial risk analyst	Washington-Morales	M	"75169 Reeves Mountains
Maryshire, SC 70440"	A-	707-63-9561	Zachary Cantu	1933-03-14	White	88	3.57258	63.00446	5.86813	6-7	60-70	23.56542	77.9	1.0	6.95218	3.55471	yes	19.48698	4.66128	8.5115	7.54503	52.95682	widowed
Sub	Nunez, Harris and Lewis	M	"7903 Wilson Trail
West Danielfurt, NC 18199"	B-	379-63-8513	Dakota Allen	1955-06-07	White	66	8.05938	87.17537	7.53081	6-7	80-90	43.39406	32.10364	0.0	6.13061	6.48234	no	8.01138	4.06366	7.22818	6.69993	78.7499	married
Programme researcher, broadcasting/film/video	Mckee, Valdez and Taylor	M	"57490 Smith Road Suite 040
Pattersonland, FL 29661"	A-	282-81-3362	Kurt Robles	1985-08-01	Black	36	8.18217	38.22431	7.40078	7-8	30-40	73.81989	22.3276	1.0	7.51396	4.00668	no	7.02427	4.27708	6.06505	5.78	82.84072	separated
Scientist, marine	Martin Group	M	"8608 Courtney Shores Suite 854
Mcdanielville, WV 79907"	AB+	667-15-0600	Brian Marsh	1921-12-23	White	99	8.60434	67.5108	5.99563	6-7	60-70	54.26488	57.13712	1.0	6.36787	6.61622	yes	13.80273	6.03897	8.13981	7.73573	52.82	separated
Engineer, production	Carter, Reeves and Mccormick	F	"253 Carr Forks Suite 665
West Sheena, SC 01867"	B-	760-80-4222	Lindsey Escobar DVM	1944-12-14	Black	76	5.66784	122.26332	5.99934	8-9	120-130	49.52727	63.93312	1.0	8.42434	5.52801	yes	8.23796	4.64172	6.21413	6.79871	82.75987	married
Nutritional therapist	Sanchez-Boyer	M	"881 Duane Burgs Suite 894
East Kimberly, IL 00686"	AB-	075-31-7906	Steven Wright	1987-11-08	White	34	5.18836	29.83849	6.40383	7-8	20-30	48.40821	63.7338	1.0	7.05918	4.99431	no	7.64773	5.58249	6.89248	6.91462	91.65349	single
Engineer, petroleum	Gray-Murphy	F	"43412 Williams Prairie Suite 610
Franklinport, NE 51889"	B+	800-49-8282	Melissa Gutierrez	1924-10-03	Black	97	4.20754	100.48142	6.96987	8-9	100-110	45.27849	28.90945	1.0	8.01166	7.65239	no	4.94123	8.7146	6.86218	6.01072	85.20945	single
Chief Financial Officer	Pearson-Christensen	F	"0754 Graves Stream
East Dustin, NH 20488"	A-	745-20-8101	Patricia Lloyd	1946-02-02	Black	75	5.96129	115.90057	6.21852	7-8	110-120	26.63491	37.84917	0.0	7.24595	7.30085	yes	4.72494	8.91235	6.68325	4.76686	55.87829	single
Television/film/video producer	Barton and Sons	M	"23232 Gomez Drive
Lake Phillip, VT 81637"	O+	237-79-6883	Joseph Larsen	1913-06-27	Indian	108	5.06079	42.53176	6.86381	8-9	40-50	49.20834	63.37906	1.0	8.13355	5.81092	no	7.5415	5.90231	6.91096	8.25189	36.2838	divorced
